Name,Price,Description,Stock,SKU,Categories,Tags,URL
Bulbasaur,63.00,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",45 in stock,4391,"Pokemon,Seed","bulbasaur,Overgrow,Seed",https://scrapeme.live/shop/Bulbasaur/
Ivysaur,87.00,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",142 in stock,7227,"Pokemon,Seed","ivysaur,Overgrow,Seed",https://scrapeme.live/shop/Ivysaur/
Venusaur,105.00,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,30 in stock,7036,"Pokemon,Seed","Overgrow,Seed,venusaur",https://scrapeme.live/shop/Venusaur/
Charmander,48.00,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",206 in stock,9086,"Lizard,Pokemon","Blaze,charmander,Lizard",https://scrapeme.live/shop/Charmander/
Charmeleon,165.00,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",284 in stock,6565,"Flame,Pokemon","Blaze,charmeleon,Flame",https://scrapeme.live/shop/Charmeleon/
Charizard,156.00,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",31 in stock,8840,"Flame,Pokemon","Blaze,Charizard,Flame",https://scrapeme.live/shop/Charizard/
Squirtle,130.00,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",178 in stock,6094,"Pokemon,Tiny Turtle","squirtle,Tiny Turtle,Torrent",https://scrapeme.live/shop/Squirtle/
Wartortle,123.00,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",24 in stock,9659,"Pokemon,Turtle","Torrent,Turtle,wartortle",https://scrapeme.live/shop/Wartortle/
Blastoise,76.00,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,88 in stock,5212,"Pokemon,Shellfish","blastoise,Shellfish,Torrent",https://scrapeme.live/shop/Blastoise/
Caterpie,73.00,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",40 in stock,7492,"Pokemon,Worm","caterpie,Shield Dust,Worm",https://scrapeme.live/shop/Caterpie/
Metapod,148.00,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,285 in stock,2072,"Cocoon,Pokemon","Cocoon,metapod,Shed Skin",https://scrapeme.live/shop/Metapod/
Butterfree,162.00,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",242 in stock,9507,"Butterfly,Pokemon","Butterfly,butterfree,Compound Eyes",https://scrapeme.live/shop/Butterfree/
Weedle,25.00,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,65 in stock,7525,"Hairy Bug,Pokemon","Hairy Bug,Shield Dust,weedle",https://scrapeme.live/shop/Weedle/
Kakuna,148.00,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",260 in stock,1049,"Cocoon,Pokemon","Cocoon,kakuna,Shed Skin",https://scrapeme.live/shop/Kakuna/
Beedrill,168.00,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",125 in stock,6542,"Poison Bee,Pokemon","beedrill,Poison Bee,Swarm",https://scrapeme.live/shop/Beedrill/
Pidgey,159.00,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",175 in stock,9452,"Pokemon,Tiny Bird","Keen Eye,pidgey,Tiny Bird",https://scrapeme.live/shop/Pidgey/
Pidgeotto,84.00,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",120 in stock,1150,"Bird,Pokemon","Bird,Keen Eye,pidgeotto",https://scrapeme.live/shop/Pidgeotto/
Pidgeot,185.00,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",90 in stock,8462,"Bird,Pokemon","Bird,Keen Eye,pidgeot",https://scrapeme.live/shop/Pidgeot/
Rattata,128.00,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",16 in stock,1009,"Mouse,Pokemon","Mouse,rattata,Run Away",https://scrapeme.live/shop/Rattata/
Raticate,60.00,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",204 in stock,5745,"Mouse,Pokemon","Mouse,raticate,Run Away",https://scrapeme.live/shop/Raticate/
Spearow,133.00,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",46 in stock,1591,"Pokemon,Tiny Bird","Keen Eye,spearow,Tiny Bird",https://scrapeme.live/shop/Spearow/
Fearow,95.00,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,276 in stock,9127,"Beak,Pokemon","Beak,fearow,Keen Eye",https://scrapeme.live/shop/Fearow/
